model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,4,4,0.287,0.6162,84.04,1200.06,2,3,1.00E+37,16341,4547,11794,913,0
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,5,5,0.287,0.6162,81.46,1200.45,2,3,1.00E+76,3985,167,3818,1180,0
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,6,6,0.9734,1,480.45,480.8,6,47,1.00E+154,2,0,2,0,0
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,7,6,0.9734,1,423.16,423.52,6,47,1.00E+154,2,0,2,0,0
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,8,6,0.9734,1,390.95,391.31,6,47,1.00E+154,2,0,2,0,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,1,1,-72.0642,0.5006,0.19,2.55,1,1,4500,186,27,159,44,2
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,2,2,-0.2174,0.9842,42.72,50.5,2,3,1.00E+10,3778,727,3051,792,6
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,3,3,0.7606,0.9908,133.82,1200.08,3,6,1.00E+22,76162,20742,55420,10586,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,4,4,2.1137,0.9999,242.84,1200.11,4,9,1.00E+48,31854,9935,21919,2957,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,5,5,2.1174,1,325.95,1200.12,5,11,1.00E+98,16329,5073,11256,1281,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,6,6,2.1181,1,353.9,1200.24,6,12,1.00E+200,7620,2506,5114,441,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,7,7,2.1183,1,398.98,1200.36,7,14,1e403,4402,1546,2856,141,0
omdt-traffic_intersection,4,361,100.00,3,1083,2.1246,-146.4377,,8,6,2.1245,1,332.92,333.08,6,37,1.00E+200,603,109,494,138,0
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,1,1,0.0938,0.3731,342.5,1200.2,1,1,1.00E+06,2446,12,2434,953,1
qcomp-consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,2,2,0.0941,0.6628,760.66,1200.57,2,3,1.00E+16,1960,197,1763,544,3
