model,vars,S,rel(S),Act,choices,*-opt,random,Unnamed: 8,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+,dtcontrol nodes,dtcontrol depth,dtcontrol time,omdt time,omdt best,omdt bound,omdt depth,omdt nodes,omdt time (best)
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,8,8,557.693,1.0,504.19,504.4,7,23,1e459,116,31,85,7,0,12,7,00:00:00.006,1208.793924331665,537.7031495,557.7247113,8,28,1194
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,1,1,-0.7553,0.0333,3.61,31.67,1,1,2700,2855,71,2784,890,1,25,6,00:00:00.030,1202.9967510700226,-0.7553021851,0.9270603567,1,1,400
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,2,2,0.287,0.6162,81.51,1200.06,2,3,1.00E+08,88659,4405,84254,25165,4,25,6,00:00:00.030,1204.110027551651,0.247883625,0.9734128596,2,3,1081
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,3,3,0.3547,0.654,1133.85,1200.07,3,6,1.00E+18,35355,687,34668,11104,0,25,6,00:00:00.030,1206.3579885959623,-0.1630437188,0.9734128596,3,6,897
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,4,4,0.287,0.6162,84.04,1200.06,2,3,1.00E+37,16341,4547,11794,913,0,25,6,00:00:00.030,1211.714751958847,-0.8380167997,0.9734128596,2,2,293
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,5,5,0.287,0.6162,81.46,1200.45,2,3,1.00E+76,3985,167,3818,1180,0,25,6,00:00:00.030,1222.347608089447,-0.8149295735,0.9734128596,1,1,12
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,6,6,0.9734,1.0,480.45,480.8,6,47,1.00E+154,2,0,2,0,0,25,6,00:00:00.030,1245.627794265747,-0.8149295735,0.9734128596,1,1,25
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,7,6,0.9734,1.0,423.16,423.52,6,47,1.00E+154,2,0,2,0,0,25,6,00:00:00.030,1295.2916560173037,-0.8149295735,680.5705502,2,2,50
tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,8,6,0.9734,1.0,390.95,391.31,6,47,1.00E+154,2,0,2,0,0,25,6,00:00:00.030,1398.34592628479,-0.8149295735,680.5705502,1,1,95
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,1,1,-72.0642,0.5006,0.19,2.55,1,1,4500,186,27,159,44,2,32,12,00:00:00.017,14.133070468902588,-72.06684736,-72.06683506,1,1,10
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,2,2,-0.2174,0.9842,42.72,50.5,2,3,1.00E+10,3778,727,3051,792,6,32,12,00:00:00.017,115.613853931427,-0.2174012459,-0.2171856875,2,3,110
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,3,3,0.7606,0.9908,133.82,1200.08,3,6,1.00E+22,76162,20742,55420,10586,0,32,12,00:00:00.017,1200.6088004112244,1.004787754,2.124601687,3,7,943
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,4,4,2.1137,0.9999,242.84,1200.11,4,9,1.00E+48,31854,9935,21919,2957,0,32,12,00:00:00.017,1200.8367295265198,2.114659582,2.124605577,4,11,1184
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,5,5,2.1174,1.0,325.95,1200.12,5,11,1.00E+98,16329,5073,11256,1281,0,32,12,00:00:00.017,1201.345104455948,2.122951497,2.12459604,5,18,1189
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,6,6,2.1181,1.0,353.9,1200.24,6,12,1.00E+200,7620,2506,5114,441,0,32,12,00:00:00.017,1202.4605555534365,2.120642847,2.124566698,6,32,1193
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,7,7,2.1183,1.0,398.98,1200.36,7,14,1e403,4402,1546,2856,141,0,32,12,00:00:00.017,1204.8075761795044,2.117806239,2.124552205,7,21,1172
traffic_intersection,4,361,100.0,3,1083,2.1246,-146.4377,,8,6,2.1245,1.0,332.92,333.08,6,37,1.00E+200,603,109,494,138,0,32,12,00:00:00.017,1209.8081319332125,1.913543132,2.124569883,7,42,11
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,1,1,0.0938,0.3731,342.5,1200.2,1,1,1.00E+06,2446,12,2434,953,1,383,26,00:00:00.620,1212.6434199810028,0.04847441557,0.09439407263,1,1,38
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,2,2,0.0941,0.6628,760.66,1200.57,2,3,1.00E+16,1960,197,1763,544,3,383,26,00:00:00.620,1217.2974691390991,0.04847441915,0.09439407263,2,3,988
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,3,3,0.0939,0.4557,321.58,1202.52,2,3,1.00E+36,1040,62,978,334,0,383,26,00:00:00.620,1226.946496009827,0.04860406152,0.09439405826,3,5,1182
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,4,4,0.0939,0.4557,271.1,1200.13,2,3,1.00E+77,1039,101,938,278,0,383,26,00:00:00.620,1248.54701089859,0.04858577629,0.0943940726,2,2,977
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,5,5,0.0939,0.4557,240.39,1200.9,2,3,1.00E+158,656,130,526,161,0,383,26,00:00:00.620,1294.047967672348,0.04847441557,0.09439407264,3,3,437
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,6,6,0.0939,0.4653,367.08,1201.63,4,7,1e321,579,62,517,178,0,383,26,00:00:00.620,1394.9030013084412,0.04847441557,0.09439405401,0,0,827
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,7,5,0.0943,0.9336,402.49,457.58,4,10,1.00E+158,153,61,92,11,1,383,26,00:00:00.620,1589.2808616161346,0.04842000175,392.0392039,1,1,283
consensus-3-32,5,6161,99.89,14,86254,0.0944,0.0935,,8,5,0.0943,0.9336,359.11,403.41,4,10,1.00E+158,130,53,77,11,1,383,26,00:00:00.620,2019.5846908092497,0.04842000175,392.0392039,1,1,551
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,1,1,0.3901,0.7298,6.27,40.48,1,1,1.00E+12,413,39,374,107,1,40,12,00:00:00.157,1220.7171788215635,0.3882811995,39.19103308,1,1,673
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,2,2,0.3919,1.0,72.75,79.98,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1171.3637161254885,0.3919103307,39.19103308,2,3,1144
csma-2-4,11,7959,99.99,17,135303,0.3919,0.3852,,3,2,0.3919,1.0,73.24,80.49,2,3,1.00E+35,147,25,122,30,1,40,12,00:00:00.157,1238.185537815094,0.3851938947,39.19103308,3,5,699
